1500,0,119999
3000,0,119995
4500,0,119990
6000,0,119982
7500,0,119972
9000,0,119959
10500,0,119945
12000,0,119928
13500,0,119908
15000,0,119887
16500,0,119863
18000,0,119837
19500.1,0,119809
21000.1,0,119778
22500.1,0,119746
24000.1,0,119711
25500.1,0,119673
27000.1,0,119634
28500.2,0,119592
30000.2,0,119548
31500.2,0,119502
33000.3,0,119453
34500.3,0,119402
36000.3,0,119349
37500.4,0,119294
39000.4,0,119236
40500.5,0,119176
42000.5,0,119114
43500.6,0,119050
45000.7,0,118983
46500.8,0,118915
48000.8,0,118844
49500.9,0,118770
51001,0,118695
52501.1,0,118617
54001.2,0,118537
55501.3,0,118454
57001.4,0,118370
58501.6,0,118283
60001.7,0,118194
61501.8,0,118103
63002,0,118009
64502.1,0,117914
66002.3,0,117816
67502.4,0,117715
69002.6,0,117613
70502.8,0,117508
72003,0,117401
73503.2,0,117292
75003.4,0,117181
76503.7,0,117067
78003.9,0,116952
79504.1,0,116834
81004.4,0,116713
82504.7,0,116591
84005,0,116466
85505.3,0,116339
87005.6,0,116210
88505.9,0,116079
90006.2,0,115945
91506.6,0,115810
93007,0,115672
94507.3,0,115532
96007.7,0,115390
97508.2,0,115245
99008.6,0,115098
100509,0,114950
102010,0,114798
103510,0,114645
105011,0,114490
106511,0,114332
108012,0,114173
109512,0,114011
111013,0,113847
112513,0,113680
114014,0,113512
115515,0,113342
117015,0,113169
118516,0,112994
120017,0,112817
121518,0,112638
123018,0,112457
124519,0,112274
126020,0,112088
127521,0,111901
129022,0,111711
130523,0,111519
132024,0,111325
133525,0,111129
135026,0,110931
136527,0,110731
138028,0,110529
139529,0,110325
141031,0,110119
142532,0,109910
144033,0,109700
145535,0,109488
147036,0,109273
148537,0,109057
150039,0,108839
151541,0,108618
153042,0,108396
154544,0,108171
156046,0,107945
157547,0,107717
159049,0,107487
160551,0,107255
162053,0,107021
163555,0,106785
165058,0,106547
166560,0,106307
168062,0,106066
169565,0,105822
171067,0,105577
172570,0,105330
174072,0,105081
175575,0,104830
177078,0,104578
178581,0,104324
180084,0,104068
181587,0,103810
183091,0,103551
184594,0,103290
186098,0,103027
187602,0,102763
189105,0,102497
190609,0,102230
192114,0,101961
193618,0,101691
195122,0,101419
196627,0,101145
198132,0,100870
199637,0,100594
201142,0,100317
202647,0,100038
204153,0,99757.4
205658,0,99475.9
207164,0,99193.1
208671,0,98909.2
210177,0,98624.1
211684,0,98337.9
213191,0,98050.7
214698,0,97762.4
216205,0,97473.2
217713,0,97183
219221,0,96892
220729,0,96600.1
222238,0,96307.5
223747,0,96014.2
225256,0,95720.2
226766,0,95425.7
228276,0,95130.6
229786,0,94835.1
231297,0,94539.2
232808,0,94243
234320,0,93946.6
235832,0,93650
237344,0,93353.3
238857,0,93056.6
240371,0,92760
241885,0,92463.6
243399,0,92167.4
244914,0,91871.7
246430,0,91576.3
247946,0,91281.6
249462,0,90987.5
250980,0,90694.2
252498,0,90401.8
254016,0,90110.4
255536,0,89820.2
257056,0,89531.2
258576,0,89243.6
260098,0,88957.5
261620,0,88673.1
263143,0,88390.5
264667,0,88109.8
266191,0,87831.2
267717,0,87554.9
269243,0,87281
270770,0,87009.6
272299,0,86741
273828,0,86475.2
275358,0,86212.6
276889,0,85953.2
278421,0,85697.2
279954,0,85444.8
281487,0,85196.3
283023,0,84951.7
284559,0,84711.4
286096,0,84475.4
287634,0,84244
289173,0,84017.4
290714,0,83795.8
292255,0,83579.4
293798,0,83368.3
295341,0,83162.9
296886,0,82963.3
298432,0,82769.7
299979,0,82582.3
301527,0,82401.4
303076,0,82227
304626,0,82059.5
306177,0,81899
307729,0,81745.7
309282,0,81599.8
310836,0,81461.4
312391,0,81330.9
313946,0,81208.2
315503,0,81093.6
317060,0,80987.2
318618,0,80889.3
320177,0,80799.8
321737,0,80719
323297,0,80646.9
324857,0,80583.8
